keyword,question,content
tong ve sinh,Thời gian làm việc của gói tổng vệ sinh kéo dài bao lâu?,"Tùy vào diện tích căn hộ. Thông thường gói tổng vệ sinh nhà chung cư từ 2 đến 3 phòng ngủ sẽ cần từ 4 đến 6 tiếng hoạt động liên tục của một nhóm Helper từ 2-3 người."
tong ve sinh,Hút bụi thảm và giặt nệm giường ngủ có nằm trong gói tổng vệ sinh không?,"Có dịch vụ phụ trợ đi kèm. Khi đặt gói tổng vệ sinh, quý khách có thể tùy chọn dịch vụ giặt nệm, giặt rèm cửa, giặt ghế sofa bằng máy phun hút hơi nước nóng."
chamsoc nguoi gia,Helper chăm sóc người già có hỗ trợ cụ đi dạo ngoài trời không?,"Được. Hỗ trợ người già đi dạo, tập thể dục nhẹ nhàng tại khuôn viên xanh hoặc căn hộ là nhiệm vụ giúp tinh thần các cụ minh mẫn, khỏe mạnh hơn."
chamsoc nguoi gia,Người giúp việc có chuyên môn về đo chỉ số sức khỏe không?,"Các Helper làm mảng chăm sóc người cao tuổi đều được đào tạo cách sử dụng thiết bị đo huyết áp tự động, máy kiểm tra đường huyết cầm tay và theo dõi nhiệt độ mỗi ngày."
chamsoc nguoi gia,Làm sao khi cụ già không chịu hợp tác hoặc bỏ ăn?,"Helper sẽ kiên nhẫn bầu bạn, dỗ dành nhẹ nhàng và đổi thực đơn mềm dễ nuốt. Đồng thời lập tức báo cáo tình trạng cụ thể cho gia đình/khách hàng biết."
chamsoc nguoi gia,Có nhận chăm sóc người già bị liệt giường toàn phần không?,"Có. Helper có kinh nghiệm trong việc trở mình định kỳ chống loét, thay tã bỉm người lớn, hỗ trợ lau người tại giường và cho ăn bằng ống xông (nếu có hướng dẫn của y tá)."
cham em be,Trông trẻ tại nhà có bao gồm việc dạy học cho bé không?,"Helper hỗ trợ trông nom vui chơi, kể chuyện tiếng Việt và hướng dẫn bé làm các bài tập đơn giản, không thay thế cho gia sư dạy học chuyên nghiệp."
cham em be,Helper có biết xử lý khi em bé bị sặc sữa hoặc hóc dị vật không?,"Có. Đây là chuyên đề sơ cứu nhi khoa bắt buộc trong quy trình đào tạo chứng chỉ trông trẻ của Gia Đình Việt để đối phó với các sự cố hô hấp khẩn cấp."
cham em be,Tôi có thể nhờ Helper đón trẻ từ trường mầm non về nhà không?,"Được, với điều kiện phụ huynh đã làm việc rõ ràng trước với ban giám hiệu nhà trường về việc ủy quyền đón trẻ cho Helper và cung cấp thông tin liên quan."
cham em be,Pha sữa và tiệt trùng bình sữa có được Helper thực hiện không?,"Có. Helper sẽ tuân thủ nghiêm ngặt kỹ thuật rửa bình, tiệt trùng bằng máy hoặc luộc nước sôi và pha sữa đúng tỷ lệ nhiệt độ mà phụ huynh yêu cầu."
nau an,Helper có tự đi chợ lựa chọn nguyên liệu sạch không?,"Có. Quý khách có thể đưa tiền mặt hoặc chuyển khoản để Helper đi siêu thị/chợ mua thực phẩm theo thực đơn yêu cầu, sau đó giao lại hóa đơn mua hàng đầy đủ."
nau an,Các món ăn do Helper chuẩn bị có đảm bảo an toàn vệ sinh không?,"Tất cả Helper nấu ăn đều phải khám sức khỏe định kỳ chứng minh không mắc các bệnh truyền nhiễm và có chứng nhận an toàn vệ sinh thực phẩm."
nau an,Có thể thuê Helper nấu món ăn chay cho gia đình không?,"Có. Chúng tôi chọn lọc những Helper có tay nghề nấu chay ngon, thanh tịnh và am hiểu về phối hợp dinh dưỡng từ rau củ quả cho quý khách."
nau an,Công việc sau khi nấu ăn xong của Helper gồm những gì?,"Sau khi bày biện món ăn lên bàn, Helper sẽ vệ sinh sạch sẽ bếp nấu, rửa sạch thớt xoong nồi chảo sử dụng trong buổi bếp và lau dọn bồn rửa."
hotline,Tôi muốn liên hệ phản ánh về thái độ của Helper thì liên lạc thế nào?,"Quý khách liên hệ trực tiếp cho tổng đài 123-456-789. Đội ngũ Operator hỗ trợ giải quyết từ 8:00 sáng đến 21:00 tối hàng ngày để xử lý khiếu nại."
hotline,Địa chỉ văn phòng đại diện của Gia Đình Việt ở đâu?,"Văn phòng chính nằm tại Quận 10, Thành phố Hồ Chí Minh. Chi tiết sơ đồ đường đi và chỉ dẫn có thể tham khảo tại mục 'Liên hệ' trên website."
hotline,Kênh mạng xã hội chính thức của Gia Đình Việt là gì?,"Hiện tại chúng tôi hoạt động trên trang fanpage Facebook (Gia Đình Việt - Dịch Vụ Gia Đình) và kênh Zalo OA để cung cấp thông tin hoạt động."
hotline,Giải đáp thắc mắc dịch vụ qua email mất bao lâu?,"Bộ phận hỗ trợ kỹ thuật và chăm sóc khách hàng Gia Đình Việt cam kết phản hồi email giadinhviet.support@gmail.com trong vòng tối đa 4 tiếng làm việc."
huy lich,Sau khi đặt lịch bao lâu thì tôi được phép hủy đơn mà không mất tiền phạt?,"Miễn là thao tác hủy lịch diễn ra cách giờ thi công đơn hàng tối thiểu 24 giờ. Hệ thống không thu thêm bất kỳ chi phí phạt nào từ tài khoản của bạn."
huy lich,Helper tự ý hủy buổi làm thì tôi có được đền bù gì không?,"Có. Bên cạnh việc hoàn 100% tiền (nếu đã thanh toán qua VNPay), bạn được tặng một mã giảm giá trị giá 50.000đ áp dụng cho buổi làm kế tiếp."
huy lich,Làm thế nào để thực hiện hủy một đơn hàng giúp việc trên giao diện?,"Vào mục 'Lịch sử đặt lịch', tìm đến mã đơn hàng hiện tại của bạn, chọn nút 'Hủy lịch làm' và điền vào lý do hủy để gửi yêu cầu lên hệ thống."
vnpay,Hạn mức giao dịch tối đa một lần thanh toán trực tuyến điện tử VNPay là bao nhiêu?,"Hạn mức tùy thuộc vào hạn mức thanh toán trong ngày của thẻ ngân hàng/ứng dụng Internet Banking mà quý khách liên kết với cổng VNPay."
vnpay,Tại sao tài khoản ngân hàng của tôi báo trừ tiền VNPay nhưng hệ thống vẫn báo chưa thanh toán?,"Đây là lỗi đồng bộ trễ giữa Ngân hàng và Cổng trung gian VNPay. Hệ thống sẽ quét lại trạng thái trong 15 phút. Nếu vẫn lỗi, xin liên hệ bộ phận hỗ trợ."
vnpay,Tôi thanh toán thừa tiền thì có lấy lại được số tiền thừa không?,"Có. Hệ thống kiểm tra đối chiếu dòng tiền cuối ngày và tiến hành hoàn lại phần tiền chênh lệch thừa cho khách hàng qua tài khoản đã giao dịch."
vnpay,Tôi có cần tạo tài khoản ví điện tử VNPay để thanh toán không?,"Không cần. Cổng VNPay hỗ trợ trực tiếp quét mã QR bằng ứng dụng ngân hàng di động hoặc nhập số thẻ ATM nội địa/thẻ Visa/Mastercard rất thuận tiện."
tien mat,Thanh toán tiền mặt cho Helper diễn ra lúc nào?,"Khách hàng thực hiện thanh toán tiền mặt trực tiếp cho Helper ngay sau khi họ đã hoàn thành xong tất cả các hạng mục công việc thỏa thuận của buổi làm."
tien mat,Tôi có thể trả trước tiền mặt cho Helper trước buổi làm việc được không?,"Chúng tôi khuyên khách hàng tuyệt đối không trả tiền mặt trước khi hoàn thành công việc để hạn chế rủi ro Helper tự ý bỏ buổi làm đột xuất."
tien mat,Nếu tôi thanh toán tiền mặt tiền tip/thưởng thêm cho Helper thì hệ thống tính thế nào?,"Tiền thưởng thêm (tip) hoàn toàn tự nguyện từ sự hài lòng của khách hàng và được Helper thụ hưởng trực tiếp 100%. Hệ thống không tính thuế hay khấu trừ."
tieu chuan,Những người giúp việc tại đây có sử dụng đồng phục khi làm việc không?,"Có. Khi đến nhà làm việc, Helper bắt buộc phải mặc áo đồng phục xanh ngọc Gia Đình Việt có logo in rõ ràng và mang thẻ nhân viên hệ thống."
tieu chuan,Tôi có thể yêu cầu Helper xuất trình căn cước công dân khi đến nhà làm việc không?,"Rất hoan nghênh. Đây là quyền lợi an toàn của bạn. Bạn nên đối chiếu ảnh, tên trên ứng dụng với thẻ CCCD thực tế của Helper trước khi cho vào nhà."
tieu chuan,Người giúp việc có được sử dụng điện thoại khi đang làm việc không?,"Helper bị cấm liên lạc cá nhân bằng điện thoại trong quá trình dọn dẹp để tập trung công việc trừ tình huống khẩn cấp liên quan đến đơn hàng."
tieu chuan,Helper có quyền mang theo người lạ hoặc con nhỏ đến chỗ làm không?,"Hoàn toàn không. Mỗi đơn đặt lịch chỉ áp dụng cho Helper duy nhất được hệ thống điều động. Không cho phép mang theo bất kỳ người lạ/trẻ em nào."
tieu chuan,Người giúp việc có thể xin ngủ lại qua đêm tại nhà tôi không?,"Dịch vụ giúp việc theo giờ hoặc tổng vệ sinh không hỗ trợ hình thức lưu trú qua đêm. Helper phải ra về sau khi kết thúc ca làm trong ngày."
ho so,Hồ sơ Helper bao gồm những loại tài liệu giấy tờ nào cần tải lên?,"Yêu cầu: Bản quét rõ nét CCCD hai mặt, giấy chứng nhận sức khỏe hợp lệ, sơ yếu lý lịch cá nhân và giấy xác nhận hạnh kiểm của công an xã/phường."
ho so,Nếu chứng chỉ Helper bị hết hạn thì phải làm thế nào?,"Helper cần cập nhật bản quét chứng chỉ/giấy khám sức khỏe mới lên trang hồ sơ cá nhân để được bộ phận Operator thẩm định và cập nhật lại trạng thái."
ho so,Lý do hồ sơ Helper bị từ chối phê duyệt phổ biến nhất là gì?,"Ảnh chụp hồ sơ quá mờ không đọc được chữ, số CCCD sai lệch, hoặc giấy xác nhận không có dấu đỏ công chứng từ cơ quan có thẩm quyền cấp."
ho so,Làm thế nào để cập nhật đổi số điện thoại trên tài khoản Helper?,"Helper cần gửi yêu cầu đổi số điện thoại kèm theo ảnh selfie cầm CCCD thông qua mục gửi hỗ trợ trong App để bộ phận Admin xác minh bảo mật."
he thong,Làm thế nào nếu tôi quên mật khẩu đăng nhập vào ứng dụng?,"Quy khách nhấp chọn 'Quên mật khẩu' tại màn hình đăng nhập, nhập email đã đăng ký. Hệ thống sẽ tự động gửi mã OTP xác nhận cấp lại mật khẩu."
he thong,Tôi có bị khóa tài khoản nếu nhập sai mật khẩu nhiều lần không?,"Có. Nhằm mục đích bảo vệ tài khoản khỏi truy cập trái phép, hệ thống sẽ tạm khóa quyền đăng nhập trong 30 phút nếu quý khách nhập sai 5 lần."
he thong,Tài khoản của khách hàng có bị xóa nếu lâu không hoạt động không?,"Không. Dữ liệu tài khoản khách hàng được giữ an toàn vô thời hạn. Bạn vẫn có thể đăng nhập bình thường kể cả khi đã ngưng sử dụng nhiều năm."
he thong,Thiết bị di động chạy hệ điều hành nào có thể cài ứng dụng khách hàng?,"Ứng dụng hỗ trợ tối ưu hóa hiển thị cho tất cả thiết bị chạy hệ điều hành Android từ phiên bản 8.0 trở lên và iOS từ phiên bản 12.0 trở lên."
khuyen mai,Lịch sử sử dụng các mã giảm giá của tôi có thể xem ở đâu?,"Quý khách truy cập thông tin cá nhân và chọn mục 'Mã ưu đãi của tôi' để kiểm tra danh sách mã đã dùng, mã còn hạn và hạn mức áp dụng."
khuyen mai,Có thể áp dụng nhiều mã giảm giá cho cùng một đơn đặt lịch hay không?,"Không. Mỗi đơn đặt lịch (hóa đơn thanh toán) chỉ được phép áp dụng tối đa một mã giảm giá duy nhất theo quy định chung của hệ thống chương trình."
khuyen mai,Mã giảm giá có được quy đổi thành tiền mặt rút về ngân hàng không?,"Mã giảm giá chỉ có hiệu lực giảm trừ trực tiếp trên hóa đơn đặt lịch dịch vụ Gia Đình Việt, hoàn toàn không có giá trị quy đổi thành tiền mặt."
khuyen mai,Ưu đãi của mã giới thiệu bạn bè tham gia sử dụng dịch vụ là gì?,"Khi bạn giới thiệu bạn bè tải app và hoàn thành đơn hàng đầu tiên, bạn sẽ được tặng mã ưu đãi 50.000đ và người được giới thiệu giảm 30.000đ."
khieu nai,Thời hạn tối đa để tôi gửi báo cáo chất lượng ca làm kém là bao lâu?,"Quý khách vui lòng gửi báo cáo kèm hình ảnh minh chứng trong vòng tối đa 24 giờ sau khi kết thúc ca làm để Operator có căn cứ xử phạt Helper."
khieu nai,Người giúp việc làm nứt vỡ bình hoa quý của gia đình thì đền bù thế nào?,"Sau khi giám định mức độ hư hại thực tế, Gia Đình Việt liên kết bảo hiểm đền bù tối đa 5.000.000đ cho mỗi thiệt hại về tài sản do lỗi Helper gây ra."
khieu nai,Tôi có thể khiếu nại thái độ ứng xử không chuẩn mực của Helper không?,"Chắc chắn được. Việc Helper có hành vi thái độ thô lỗ, lời nói thiếu văn minh sẽ bị cảnh cáo hoặc khóa tài khoản vĩnh viễn trên nền tảng của chúng tôi."
khieu nai,Có được quyền phạt trừ lương Helper trực tiếp không thông qua tổng đài?,"Khách hàng không tự ý trừ tiền của Helper. Bạn hãy báo cáo lên hệ thống, Operator sẽ kiểm chứng và thực hiện hoàn tiền giảm giá trực tiếp cho bạn."
bao cao,Bảng xếp hạng chất lượng phục vụ của Helper hoạt động thế nào?,"Xếp hạng dựa trên điểm sao đánh giá trung bình từ phía khách hàng. Helper đạt từ 4.8 sao trở lên sẽ được ưu tiên hiển thị và nhận đơn sớm hơn."
bao cao,Điều gì xảy ra khi điểm sao năng lực trung bình của Helper dưới 4.0?,"Hệ thống sẽ tự động tạm ngưng quyền nhận việc của Helper và chuyển hồ sơ cho Operator yêu cầu thi cử tập huấn lại kỹ năng để cải thiện điểm số."
bao cao,Tôi có thể chặn một Helper cụ thể không bao giờ nhận đơn của mình không?,"Có. Tại màn hình đánh giá, bạn có thể chọn mục 'Chặn người giúp việc này'. Hệ thống sẽ loại bỏ họ ra khỏi các lần ghép nối lịch làm về sau."
bao cao,Làm thế nào Helper tố cáo hành vi gian lận hoặc ngược đãi từ khách hàng?,"Helper có thể gửi báo cáo sự cố ngay trên chi tiết ca làm việc, cung cấp bằng chứng ghi âm/hình ảnh để Operator hỗ trợ bảo vệ quyền lợi chính đáng."
chat,Chức năng trò chuyện nhắn tin giữa khách hàng và Helper có nội dung bảo mật không?,"Có. Các cuộc hội thoại trong ứng dụng đều được bảo mật. Chỉ trong trường hợp xảy ra tranh chấp khiếu nại, Operator mới truy xuất tin nhắn để phân giải."
chat,Tôi không gửi được hình ảnh qua kênh chat cho Helper thì phải làm sao?,"Hãy kiểm tra lại quyền truy cập ảnh của ứng dụng trong phần cài đặt điện thoại và đảm bảo dung lượng file hình ảnh gửi đi không vượt quá 5MB."
chat,Có quy định cấm hành vi nào trong nhắn tin giao tiếp không?,"Cấm hành vi gửi tin nhắn quảng cáo ngoài dịch vụ, dùng từ ngữ thô tục quấy rối hoặc trao đổi thông tin thanh toán riêng ngoài nền tảng."
chat,Tôi có thể thực hiện cuộc gọi thoại trực tiếp cho Helper qua ứng dụng không?,"Được. Tính năng cuộc gọi thoại qua internet (VoIP) tích hợp sẵn trong ứng dụng giúp bảo mật số điện thoại cá nhân của cả khách hàng và Helper."
hoan tien,Lý do thời gian hoàn tiền vào thẻ Visa/Mastercard lâu hơn thẻ ATM nội địa?,"Do các giao dịch quốc tế phải thông qua cổng xử lý thanh toán đa quốc gia và ngân hàng bảo trợ nước ngoài nên quy trình duyệt tiền trả về lâu hơn."
hoan tien,Tôi có thể nhận lại tiền hoàn trực tiếp bằng tiền mặt tại văn phòng không?,"Không. Định chế kế toán của Gia Đình Việt bắt buộc hoàn trả tiền đúng theo phương thức thanh toán ban đầu (nếu trả VNPay thì hoàn qua tài khoản VNPay)."
hoan tien,Tôi đã hủy lịch nhưng chưa nhận được mã giao dịch hoàn tiền?,"Hệ thống sẽ gửi email kèm mã giao dịch hoàn trả tự động sau 10 phút kể từ khi yêu cầu hủy lịch được Operator duyệt thành công trên hệ thống."
khac,Tôi có thể thuê Helper đi làm việc ở ngoài phạm vi Thành phố Hồ Chí Minh không?,"Hiện tại Gia Đình Việt chỉ hoạt động tại TPHCM. Chúng tôi sẽ thông báo đến quý khách hàng khi mở rộng dịch vụ ra các tỉnh thành lân cận khác."
khac,Thời gian hoạt động sớm nhất và muộn nhất trong ngày của dịch vụ là mấy giờ?,"Ca làm sớm nhất bắt đầu từ lúc 6h00 sáng và ca làm muộn nhất kết thúc trước lúc 22h00 đêm để đảm bảo an toàn di chuyển cho người lao động."
khac,Tôi có nhận hóa đơn giá trị gia tăng (VAT) cho doanh nghiệp không?,"Có. Khách hàng doanh nghiệp cần gửi mã số thuế và địa chỉ công ty trong vòng 7 ngày làm việc để nhận hóa đơn điện tử VAT gửi qua hòm thư email."
khac,Gia Đình Việt có dịch vụ dọn dẹp vệ sinh cho văn phòng công ty lớn không?,"Có dịch vụ tổng vệ sinh hoặc bố trí nhân viên dọn dẹp tòa nhà/văn phòng định kỳ. Quý khách vui lòng gọi Hotline để nhận khảo sát báo giá riêng."
